"","clusterID","size","firstDate","lastDate","medianDate","meanDate","meanCDbase","medianCDbase","meanVLbase","medianVLbase","meanAgeFARV","medianAgeFARV","meanAge2023","medianAge2023","n_RSK","n_MSM","n_HET","n_IDU","n_BLOOD","n_HCV","n_HCVrep","perc_RSK","perc_MSM","perc_HET","perc_IDU","perc_BLOOD","perc_HCV","n_seroconv_2018","n_seroconv_2022","n_PREP","perc_PREP","n_HAknown","n_HA_Van","n_HA_VanIsl","n_HA_Fras","n_HA_North","n_HA_Int","perc_HAknown","perc_HA_Van","perc_HA_VanIsl","perc_HA_Fras","perc_HA_North","perc_HA_Int","n_subB","n_subC","n_subAE","n_subF","n_subBlike","n_subBrecomb","n_subBDrecomb","active","active22","medium","big","large"
"185","169",6,1996-06-17,2001-08-21,1997-03-01,1998-01-24,196,170,223603.333333333,4400,35,37,59.9879452054795,57.9041095890411,5,0,2,5,0,5,5,83.3333333333333,0,40,100,0,100,0,0,0,NA,5,2,0,2,0,1,83.3333333333333,40,0,40,0,20,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"186","170",6,1996-10-16,2011-04-02,2007-04-01,2005-03-02,206.666666666667,175,298211,134068.5,44.1666666666667,41,59.1506849315069,56.8178082191781,4,0,1,4,0,5,6,66.6666666666667,0,25,100,0,83.3333333333333,0,0,0,NA,6,1,5,0,0,0,100,16.6666666666667,83.3333333333333,0,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"187","187",6,1996-07-02,2016-07-04,2002-12-24,2004-05-03,323.833333333333,265,338375,59007,37.1666666666667,38,55.0159817351598,54.3287671232877,2,0,2,0,0,0,4,33.3333333333333,0,100,0,0,0,0,0,0,NA,6,1,0,5,0,0,100,16.6666666666667,0,83.3333333333333,0,0,0,6,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"188","189",6,1999-08-16,2011-04-14,2002-10-26,2004-07-04,263.333333333333,285,35577.5,36121,49,52.5,66.7908675799087,69.9328767123288,4,0,4,1,0,2,6,66.6666666666667,0,100,25,0,33.3333333333333,0,0,0,NA,6,5,0,1,0,0,100,83.3333333333333,0,16.6666666666667,0,0,0,6,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"189","192",6,1996-06-11,2008-07-17,2002-12-01,2003-02-08,361.666666666667,280,74565,100010,37.8333333333333,37,55.7009132420091,52.4328767123288,3,3,0,1,0,2,6,50,100,0,33.3333333333333,0,33.3333333333333,0,0,0,NA,6,6,0,0,0,0,100,100,0,0,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"190","198",6,1996-07-23,2009-03-09,2004-08-03,2003-01-17,330,360,217634,60245.5,44,42,62.2553424657534,67.6602739726027,5,0,1,5,1,4,4,83.3333333333333,0,20,100,20,100,0,0,0,NA,4,4,0,0,0,0,66.6666666666667,100,0,0,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"191","214",6,1998-10-28,2007-06-28,2006-04-23,2005-04-11,133.333333333333,105,52464.3333333333,46481,42.6666666666667,39,58.2762557077626,54.8547945205479,5,0,4,4,1,1,6,83.3333333333333,0,80,80,20,16.6666666666667,0,0,0,NA,6,3,0,3,0,0,100,50,0,50,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"192","222",6,1998-04-22,2017-01-12,2012-02-20,2010-07-27,244.833333333333,270,117898.833333333,40831,32.1666666666667,33,44.0301369863014,45.8547945205479,4,1,3,1,0,2,6,66.6666666666667,25,75,25,0,33.3333333333333,0,0,0,NA,5,3,0,2,0,0,83.3333333333333,60,0,40,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"193","228",6,1996-06-19,2007-05-04,1997-03-24,1999-01-26,246,250,129336.666666667,100010,56,55,80.066301369863,81.6767123287671,3,2,2,0,0,1,5,50,66.6666666666667,66.6666666666667,0,0,20,0,0,0,NA,5,3,0,2,0,0,83.3333333333333,60,0,40,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"194","9",5,1997-04-10,2016-04-12,2015-09-01,2012-01-06,554,510,678924.6,62232,38.2,35,49.0953424657534,52.8465753424658,5,2,2,4,0,4,5,100,40,40,80,0,80,0,0,0,NA,5,5,0,0,0,0,100,100,0,0,0,0,5,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
